Country,Negative,Positive,Neutral
United States,286,924,934
آزاد کشمیر,11,22,29
South Africa,23,48,40
France,3,15,9
España,4,6,9
United Kingdom,107,235,257
ישראל,0,5,6
Nederland,12,31,32
Italia,74,221,199
Slovenija,1,2,2
Nigeria,29,81,123
Canada,20,59,73
عمان,0,2,2
Namibia,1,3,1
لبنان,0,3,6
The Bahamas,1,2,1
India,81,333,317
Tanzania,2,4,2
Uganda,1,5,8
বাংলাদেশ,0,5,6
Россия,0,2,2
الإمارات العربية المتحدة,7,23,22
Australia,17,30,37
Colombia,1,6,9
Indonesia,12,21,21
Éire / Ireland,4,13,5
Malaysia,1,3,6
Singapore,2,3,5
México,1,4,2
Brasil,2,17,11
日本,2,7,10
Luzon,6,14,9
Kenya,8,18,15
Ghana,4,11,16
Schweiz/Suisse/Svizzera/Svizra,1,10,7
नेपाल,1,4,5
New Zealand / Aotearoa,1,4,11
Palestinian Territory,0,2,4
Deutschland,21,38,47
België / Belgique / Belgien,4,9,8
Sverige,4,7,12
Botswana,1,2,0
Danmark,2,5,8
România,0,3,2
